id	filename	md5	size	state
0e4e8215-f5ec-496c-ad7f-bb2ad2b64088	417b35a1-a12e-4b7b-8730-d175e6a33f6c.FPKM.txt.gz	96c08a46d8ee862f465be2e220bbe482	325802	validated
0e7871dc-a721-4dae-8938-28a73ec3f968	232f085b-6201-4e4d-8473-e592b8d8e16d.FPKM.txt.gz	a5100a33c57262d5565d182f08534026	514027	validated
101e042e-efa2-4c6c-b629-55ecbde859d2	3de80dcb-4ff2-4125-b8e6-9e06ec1cd833.FPKM.txt.gz	b114f332af48cacf4c6c68869191eb67	530992	validated
103ef129-e87d-4197-9158-aa9a3435628a	581a446a-7311-4766-8540-237ff4a82115.FPKM.txt.gz	90b28d97cda6d7249345356b039d49cf	338308	validated
10a9502e-7462-463a-97a6-9ae4227c7d22	11c215d3-3a8d-43e5-8227-f8e993e1e021.FPKM.txt.gz	c5acdd4a4c06325ca2794bca15b449a6	308397	validated
10d7518d-35ec-479b-b07b-69344024612e	387dfadc-445b-48e4-90be-7e7ec4a4e87d.FPKM.txt.gz	b4b15f401ae6338b333b30cec851e17c	337322	validated
122716b4-05d1-477a-93f9-2302bd718cd3	00faf8ba-ff90-4214-9d03-6c5e14645d8f.FPKM.txt.gz	fadcb0275ca8a58f14f1f7f92be3970a	518406	validated
122768f8-9ffe-40e9-9cb5-acc2b0fc55b1	aa24b179-99e4-46e6-a425-1a95dc7d245a.FPKM.txt.gz	f869a7e5b33f4c0c52509ac18f6e2e9b	338565	validated
12ac1b48-5338-44f3-ad7f-ec1ed3c900d4	435a45bb-0d0d-46f2-ad68-1de4b53b3bba.FPKM.txt.gz	04ebeb1e0101605f730aa73742dfc38e	336036	validated
13910657-67bb-4dca-a0ad-c53b7f8065c1	12088339-1c7d-45ce-94b5-109555472ac2.FPKM.txt.gz	141d11c7d561fd72e6719efb8e8ed470	514858	validated
13dcd2a3-c38d-4575-bf25-78caa83db9ad	e7632be9-fab4-4a7c-8610-6e4c430fb5fb.FPKM.txt.gz	31e4fed786093c78e98ae49e03d2c3fa	337763	validated
13e719db-2105-4916-b400-652716d1f2f5	21d19126-de68-47d7-ad01-5ecba719063a.FPKM.txt.gz	70cdad0c01fc6257276997750b7f668c	342794	validated
145921a0-fbb6-4312-9173-cb9756a436d4	53c15031-c55b-47fe-bc3f-9cd0bae6b110.FPKM.txt.gz	b0503d2b532887cdf20ff4519099a3a3	336024	validated
14607dd3-e2b7-48d1-9c05-1c2df9c82a78	de24d923-f53d-4b2c-8d79-a5973180cf30.FPKM.txt.gz	0ed9cd1c49786ddf1c19b0d8a3b0cc6c	336880	validated
174ba409-db99-41bc-bb5d-586b8de671e3	6020245b-2956-46cf-9048-fbc09709ab22.FPKM.txt.gz	dbbb2c625d5a01dd35e1e57d1e949476	563797	validated
18218477-04b3-4ea5-8ef0-a233010b9d12	847f11b8-5d29-4142-8b24-74ba8e9ff9de.FPKM.txt.gz	b03f1028b892ac494b60e262b817e6b5	344197	validated
18653a2b-78d9-4065-bf1c-6cfc58991c15	0726996d-62f2-4880-808c-cfe3361b4b42.FPKM.txt.gz	50b35d0fc7f921d4fc130050d2eacc67	516206	validated
18820313-f60e-449a-af0a-893ccf5f65ab	136067dc-fde9-42e4-8488-d38c7e2d713c.FPKM.txt.gz	264b44d8bea7d2820d0c637645c036cd	527555	validated
1882f50b-8481-4217-832a-124505b3cb7f	107ada72-0710-47a9-85fb-ba77712eb02f.FPKM.txt.gz	83bd8d4c2e616e7431b71b5ac13339c7	337300	validated
18f62c21-1343-4e18-8d48-cd69a3300344	9d26edab-7937-423c-8b5a-ac333211a29b.FPKM.txt.gz	a3e89c1ccfecc44664d5c95d34d0dc2f	303809	validated
194190e4-bb24-4dfd-94d0-cf3ffeb37796	3501182f-4122-455a-a059-911a81d68923.FPKM.txt.gz	44bb7c78615c3224c35b9249ea2f9c5d	327837	validated
19421ff1-3ae8-4e86-9efc-cd3203f18003	c946ab0d-ddbd-42c8-9a72-6bc99b44438f.FPKM.txt.gz	e6c2d92ae6012da226316fae5b4d8c3b	501679	validated
1951b11c-c493-4d29-8f7c-e5ff155ba566	16c63027-f745-41c4-a5e8-f6d9f1fbf1c8.FPKM.txt.gz	abed46b369c52b055ef8148233d8477c	528525	validated
1a775ffa-9c3e-4fe5-8f1b-2a12fdf8591d	1095bcf0-e8af-4a73-bd9e-b7ef980c0675.FPKM.txt.gz	966ab87b9df6b3e8926ed26c32a2212d	336972	validated
1ae01449-b28f-4590-8e43-8eb1324f9968	c6799a40-7c01-4986-8a54-dcb6d0a5076a.FPKM.txt.gz	c7cb96e9ff2167fc4e2edc48f8aae532	338817	validated
