gene_id	FPKM
ENSG00000264104.1	0.0
ENSG00000179833.4	3.0992295521
ENSG00000264576.1	0.0
ENSG00000064225.11	2.6544430123
ENSG00000267108.1	0.87023658297
ENSG00000221372.1	0.0
ENSGR0000264510.4	0.0
ENSG00000057294.12	0.121089287422
ENSG00000227535.2	0.0
ENSG00000252628.2	0.0
ENSG00000166007.11	0.0
ENSG00000273055.1	1.05263817076
ENSG00000242041.1	0.0
ENSG00000278923.1	0.0
ENSG00000167768.4	0.0685556150571
ENSG00000280159.1	0.0200465852103
ENSG00000235240.1	0.0
ENSG00000264172.1	0.0
ENSG00000199903.1	0.0
ENSG00000200058.1	0.0
ENSG00000275358.1	0.0
ENSG00000218358.2	0.231328711929
ENSG00000266460.1	0.0
ENSG00000260371.1	0.0
ENSG00000264091.1	1.1246134303
ENSG00000238921.2	0.0
ENSG00000274815.1	0.0
ENSG00000269349.1	0.0
ENSG00000200291.1	0.0
ENSG00000233614.6	0.0424259274344
ENSG00000022567.8	3.32889756088
ENSG00000241670.3	0.0
ENSG00000278933.1	0.0
ENSG00000202175.1	0.0
ENSG00000120662.14	1.51617370821
ENSG00000235523.1	0.0
ENSG00000249848.1	0.0
ENSG00000277826.1	0.0
ENSG00000230225.1	0.0
ENSG00000239877.2	0.0
ENSG00000201398.1	0.0
ENSG00000281474.1	0.0
ENSG00000272905.1	0.474200772756
ENSG00000259952.1	0.0
ENSG00000260812.1	0.0
ENSG00000225630.1	34.5427241363
ENSG00000230231.1	0.0
ENSG00000164283.11	1.9800707706
ENSG00000231880.2	0.0
ENSG00000227489.1	0.0
ENSG00000254555.1	0.0
ENSG00000013392.7	3.38425337822
ENSG00000258279.2	0.0466793569409
ENSG00000226688.5	0.0564042229703
ENSG00000250929.2	0.0876497277811
ENSG00000204581.2	0.191695471074
ENSG00000225620.1	0.0
ENSG00000258477.1	0.0488309104673
ENSG00000225488.1	0.0
ENSG00000184178.14	17.7183993508
ENSG00000237786.1	0.0733934467565
ENSG00000166913.11	113.814033402
ENSG00000275856.1	0.0
ENSG00000164112.11	0.0886352075247
ENSG00000259345.4	0.0901910832443
ENSG00000130204.11	41.0925232353
ENSG00000280387.1	0.0585736161614
ENSG00000189099.10	0.0
ENSG00000232879.2	0.0
ENSG00000111863.11	1.15080924514
ENSG00000164182.9	20.1977033475
ENSG00000109618.10	1.16515629787
ENSG00000271623.1	0.0
ENSG00000279345.1	0.0
ENSG00000214866.6	0.0136891147883
ENSG00000153015.14	5.91574729557
ENSG00000202290.1	0.187435571717
ENSG00000254578.1	0.0
ENSG00000240710.1	0.0713517549726
ENSG00000248778.1	0.0
ENSG00000250210.4	0.0
ENSG00000225215.1	0.0
ENSG00000257246.1	0.0323164778822
ENSG00000245017.2	0.063520918465
ENSG00000281091.1	0.369191277624
ENSG00000250885.1	0.0
ENSG00000273797.1	0.0462364787916
ENSG00000089116.3	0.00779731978341
ENSG00000036448.8	0.317435491041
ENSG00000234055.1	0.101106324992
ENSG00000267552.5	0.0
ENSG00000224695.1	0.0
ENSG00000106038.11	0.0363355567002
ENSG00000255189.1	0.0303256058782
ENSG00000164114.17	0.946383512156
ENSG00000238698.1	0.0
ENSG00000199836.1	0.44846547834
ENSG00000149089.11	3.88076272713
ENSG00000251710.1	0.0
ENSG00000224570.1	0.0
ENSG00000179632.8	89.5834791586
ENSG00000271677.1	0.0
ENSG00000114861.17	4.29115779099
ENSG00000205030.1	0.0
ENSG00000138193.13	0.943294932159
ENSG00000243073.3	0.0
ENSG00000152942.17	4.6987335194
ENSG00000240809.1	0.604416620348
ENSG00000280004.1	0.0
ENSG00000224560.3	0.0
ENSG00000227233.1	0.0
ENSG00000118363.10	14.3323471036
ENSG00000258116.1	0.204761548934
ENSG00000273311.1	1.54079828602
ENSG00000136169.15	1.68574130538
ENSG00000279700.1	0.143861988624
ENSG00000121644.17	8.2113232437
ENSG00000135903.17	0.0
ENSG00000138495.5	8.71678964047
ENSG00000204528.3	0.0
ENSG00000169992.8	29.3892222017
ENSG00000239344.1	0.0325322087092
ENSG00000253309.5	0.130802431183
ENSG00000101323.4	0.356517857289
ENSG00000272456.1	0.145762458563
